blocks, threads, elements,runtime
128, 1, 256,5.321686267852783
128, 4, 1,4.569911479949951
128, 4, 4,4.642352819442749
128, 4, 16,4.554674863815308
128, 4, 64,4.71302604675293
128, 4, 256,5.376117706298828
128, 16, 1,4.599178075790405
128, 16, 4,4.600991725921631
128, 16, 16,4.5954530239105225
128, 16, 64,4.73821759223938
128, 16, 256,5.408807039260864
128, 64, 1,4.651442527770996
128, 64, 4,4.609418153762817
128, 64, 16,4.601003646850586
128, 64, 64,4.708742380142212
128, 64, 256,5.3916380405426025
128, 256, 1,4.563254356384277
128, 256, 4,4.567329168319702
128, 256, 16,4.639125823974609
128, 256, 64,4.983964204788208
128, 256, 256,5.573476791381836
128, 1024, 1,4.585846662521362
128, 1024, 4,4.682719945907593
128, 1024, 16,4.784943103790283
128, 1024, 64,5.4626524448394775
128, 1024, 256,5.94586443901062
512, 1, 1,4.568904876708984
512, 1, 4,4.572588682174683
512, 1, 16,4.615145444869995
512, 1, 64,4.8689539432525635
512, 1, 256,5.459832429885864
512, 4, 1,4.565476894378662
512, 4, 4,4.536334991455078
512, 4, 16,4.6449501514434814
512, 4, 64,4.903539419174194
512, 4, 256,5.441539525985718
512, 16, 1,4.596192836761475
512, 16, 4,4.546013116836548
512, 16, 16,4.58896803855896
512, 16, 64,4.76633358001709
512, 16, 256,5.249345302581787
512, 64, 1,4.656523704528809
512, 64, 4,4.640040159225464
512, 64, 16,4.706653118133545
512, 64, 64,4.6697118282318115
512, 64, 256,5.342068910598755
512, 256, 1,4.581792593002319
512, 256, 4,4.610353231430054
512, 256, 16,4.6306281089782715
512, 256, 64,4.959491014480591
512, 256, 256,5.471472501754761
512, 1024, 1,4.574478387832642
512, 1024, 4,4.628286600112915
512, 1024, 16,4.761047601699829
512, 1024, 64,5.392775058746338
512, 1024, 256,5.9390294551849365
2048, 1, 1,4.565419435501099
2048, 1, 4,4.608593702316284
2048, 1, 16,4.938472270965576
2048, 1, 64,5.370513439178467
2048, 1, 256,5.760825872421265
2048, 4, 1,4.48514461517334
2048, 4, 4,4.581906795501709
2048, 4, 16,4.902095556259155
2048, 4, 64,5.33236837387085
2048, 4, 256,5.431630373001099
2048, 16, 1,4.545720100402832
2048, 16, 4,4.583648204803467
2048, 16, 16,4.679489612579346
2048, 16, 64,4.677796363830566
2048, 16, 256,5.257621765136719
2048, 64, 1,4.5438172817230225
2048, 64, 4,4.626545190811157
2048, 64, 16,4.760718822479248
2048, 64, 64,4.727172136306763
2048, 64, 256,5.362706422805786
2048, 256, 1,4.574032783508301
2048, 256, 4,4.587549686431885
2048, 256, 16,4.631303787231445
2048, 256, 64,4.977613925933838
2048, 256, 256,5.461580991744995
2048, 1024, 1,4.569894790649414
2048, 1024, 4,4.604937791824341
2048, 1024, 16,4.763804912567139
2048, 1024, 64,5.336099863052368
2048, 1024, 256,5.901544570922852
